;;Microsoft Windows 7 Professional SP1 x64;1 Core 1 gb RAM 20 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Microsoft Windows Server 2012;1 core 2 gb RAM 40 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Microsoft Windows 10 Pro x64;1 Core 2 gb RAM 20 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ubuntu 20.04 LTS;1 Core 4 gb RAM 25 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Перечень виртуальных машин виртуального сегмента Индустриального киберполигона;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Параметры Simple IED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;№ п/п;Наименование виртуальной машины;Название;Настройки симуляции;;;;Адрес РЗА;Адрес источника Goose;Адрес назвачения;Адрес назвачения;Прием goose состояния;Название архива;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Напряжение;Токи;cos;Уставка;Private IP;MAC Source;MAC Dst Breaker;MAC Dst Trip;Breaker State MAC;Tag;Ansible Deploy/Setup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ГРУППА 1. Восточная ПС 4 192.168.204.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;16;Виртуальный терминал РЗА №8_ПС5;;;;;;192.168.211.10;2C-C2-60-77-02-08;2C-C2-60-75-02-08;2C-C2-60-74-02-08;2C-C2-60-75-02-02;icr-rza-n8-ps5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;17;Виртуальный терминал РЗА №1_ПС6;;;;;;192.168.205.3;2C-C2-60-77-03-01;2C-C2-60-75-03-01;2C-C2-60-74-03-01;-;icr-rza-n1-ps6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18;Виртуальный терминал РЗА №2_ПС6;;;;;;192.168.205.4;2C-C2-60-77-03-02;2C-C2-60-75-03-02;2C-C2-60-74-03-02;-;icr-rza-n2-ps6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;19;Виртуальный терминал РЗА №3_ПС6;;;;;;192.168.205.5;2C-C2-60-77-03-03;2C-C2-60-75-03-03;2C-C2-60-74-03-03;2C-C2-60-75-03-01;icr-rza-n3-ps6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;20;Виртуальный терминал РЗА №4_ПС6;;;;;;192.168.205.6;2C-C2-60-77-03-04;2C-C2-60-75-03-04;2C-C2-60-74-03-04;2C-C2-60-75-03-02;icr-rza-n4-ps6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;21;Виртуальный терминал РЗА №5_ПС6;;;;;;192.168.205.7;2C-C2-60-77-03-05;2C-C2-60-75-03-05;2C-C2-60-74-03-05;2C-C2-60-75-03-01;icr-rza-n5-ps6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;22;Виртуальный терминал РЗА №6_ПС6;;;;;;192.168.205.8;2C-C2-60-77-03-06;2C-C2-60-75-03-06;2C-C2-60-74-03-06;2C-C2-60-75-03-02;icr-rza-n6-ps6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;23;Виртуальный терминал РЗА №7_ПС6;;;;;;192.168.205.9;2C-C2-60-77-03-07;2C-C2-60-75-03-07;2C-C2-60-74-03-07;2C-C2-60-75-03-01;icr-rza-n7-ps6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;24;Виртуальный терминал РЗА №8_ПС6;;;;;;192.168.205.10;2C-C2-60-77-03-08;2C-C2-60-75-03-08;2C-C2-60-74-03-08;2C-C2-60-75-03-02;icr-rza-n8-ps6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;25;Виртуальный терминал РЗА №1_ПС7;;;;;;192.168.206.3;2C-C2-60-77-04-01;2C-C2-60-75-04-01;2C-C2-60-74-04-01;-;icr-rza-n1-ps7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;26;Виртуальный терминал РЗА №2_ПС7;;;;;;192.168.206.4;2C-C2-60-77-04-02;2C-C2-60-75-04-02;2C-C2-60-74-04-02;-;icr-rza-n2-ps7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;27;Виртуальный терминал РЗА №3_ПС7;;;;;;192.168.206.5;2C-C2-60-77-04-03;2C-C2-60-75-04-03;2C-C2-60-74-04-03;2C-C2-60-75-04-01;icr-rza-n3-ps7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;Виртуальный терминал РЗА №4_ПС7;;;;;;192.168.206.6;2C-C2-60-77-04-04;2C-C2-60-75-04-04;2C-C2-60-74-04-04;2C-C2-60-75-04-02;icr-rza-n4-ps7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29;Виртуальный терминал РЗА №5_ПС7;;;;;;192.168.206.7;2C-C2-60-77-04-05;2C-C2-60-75-04-05;2C-C2-60-74-04-05;2C-C2-60-75-04-01;icr-rza-n5-ps7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30;Виртуальный терминал РЗА №6_ПС7;;;;;;192.168.206.8;2C-C2-60-77-04-06;2C-C2-60-75-04-06;2C-C2-60-74-04-06;2C-C2-60-75-04-02;icr-rza-n6-ps7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;31;Виртуальный терминал РЗА №7_ПС7;;;;;;192.168.206.9;2C-C2-60-77-04-07;2C-C2-60-75-04-07;2C-C2-60-74-04-07;2C-C2-60-75-04-01;icr-rza-n7-ps7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;32;Виртуальный терминал РЗА №8_ПС7;;;;;;192.168.206.10;2C-C2-60-77-04-08;2C-C2-60-75-04-08;2C-C2-60-74-04-08;2C-C2-60-75-04-02;icr-rza-n8-ps7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;33;Виртуальный терминал РЗА №1_ПС8;;;;;;192.168.207.3;2C-C2-60-77-05-01;2C-C2-60-75-05-01;2C-C2-60-74-05-01;-;icr-rza-n1-ps8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;34;Виртуальный терминал РЗА №2_ПС8;;;;;;192.168.207.4;2C-C2-60-77-05-02;2C-C2-60-75-05-02;2C-C2-60-74-05-02;-;icr-rza-n2-ps8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;35;Виртуальный терминал РЗА №3_ПС8;;;;;;192.168.207.5;2C-C2-60-77-05-03;2C-C2-60-75-05-03;2C-C2-60-74-05-03;2C-C2-60-75-05-01;icr-rza-n3-ps8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;36;Виртуальный терминал РЗА №4_ПС8;;;;;;192.168.207.6;2C-C2-60-77-05-04;2C-C2-60-75-05-04;2C-C2-60-74-05-04;2C-C2-60-75-05-02;icr-rza-n4-ps8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;37;Виртуальный терминал РЗА №5_ПС8;;;;;;192.168.207.7;2C-C2-60-77-05-05;2C-C2-60-75-05-05;2C-C2-60-74-05-05;2C-C2-60-75-05-01;icr-rza-n5-ps8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;38;Виртуальный терминал РЗА №6_ПС8;;;;;;192.168.207.8;2C-C2-60-77-05-06;2C-C2-60-75-05-06;2C-C2-60-74-05-06;2C-C2-60-75-05-02;icr-rza-n6-ps8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;39;Виртуальный терминал РЗА №7_ПС8;;;;;;192.168.207.9;2C-C2-60-77-05-07;2C-C2-60-75-05-07;2C-C2-60-74-05-07;2C-C2-60-75-05-01;icr-rza-n7-ps8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;40;Виртуальный терминал РЗА №8_ПС8;;;;;;192.168.207.10;2C-C2-60-77-05-08;2C-C2-60-75-05-08;2C-C2-60-74-05-08;2C-C2-60-75-05-02;icr-rza-n8-ps8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;41;Виртуальный терминал РЗА №1_ПС9;;;;;;192.168.208.3;2C-C2-60-77-06-01;2C-C2-60-75-06-01;2C-C2-60-74-06-01;-;icr-rza-n1-ps9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;Виртуальный терминал РЗА №2_ПС9;;;;;;192.168.208.4;2C-C2-60-77-06-02;2C-C2-60-75-06-02;2C-C2-60-74-06-02;-;icr-rza-n2-ps9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
